dt_scraping,link,title,price,useful_area,m2_value,neighborhood,city,rooms,parking,condo_value,iptu,total_area,land_area,floor,floor_properties,suites,exchange,financing
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-seps-713-913-786520,SEPS 713/913,1600.0,35.0,45.0,ASA SUL,BRASÍLIA,1,1,460.0,117.0,35.0,0.0,0,,1,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sul-aguas-claras-df-rua-37-381705,Rua 37,1950.0,45.0,43.0,SUL,ÁGUAS CLARAS,1,1,452.0,0.0,45.0,0.0,0,,0,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-norte-aguas-claras-df-avenida-das-castanheiras-792813,Avenida das Castanheiras  - Edifício Estação XVI,2300.0,67.0,34.0,NORTE,ÁGUAS CLARAS,2,1,650.0,3127.0,0.0,0.0,0,,2,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-noroeste-brasilia-df-sqnw-110-bloco-g-527253,SQNW 110 Bloco G,8900.0,132.0,67.0,NOROESTE,BRASÍLIA,4,2,1500.0,2944.0,214.0,0.0,0,,2,Sim,Sim
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sul-aguas-claras-df-rua-37-762242,Rua 37,2800.0,91.0,30.0,SUL,ÁGUAS CLARAS,3,1,862.0,0.0,146.0,0.0,0,,1,,
2023-07-21 21:31:39,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sces-trecho-4-783057,SCES Trecho 4  - Brisas do Lago,2500.0,40.0,62.0,ASA SUL,BRASÍLIA,1,1,900.0,150.0,0.0,0.0,1,,1,,
2023-07-21 21:31:39,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-park-sul-brasilia-df-sgcv-lote-27-781634,SGCV Lote 27,9500.0,116.0,81.0,PARK SUL,BRASÍLIA,3,2,1500.0,0.0,140.0,0.0,0,,2,,
2023-07-21 21:31:39,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-norte-aguas-claras-df-rua-36-700303,Rua 36,2300.0,75.0,30.0,NORTE,ÁGUAS CLARAS,2,1,650.0,990.0,0.0,0.0,0,,1,,
2023-07-21 21:31:39,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-1-lote-4-bloco-a-788076,CCSW 1 Lote 4 Bloco A,4200.0,26.0,161.0,SUDOESTE,BRASÍLIA,1,1,410.0,56.0,0.0,0.0,0,,1,,
2023-07-21 21:31:39,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shn-quadra-1-590559,SHN Quadra 1,6900.0,38.37,179.0,ASA NORTE,BRASÍLIA,1,1,0.0,0.0,0.0,0.0,13,,0,,Sim
2023-07-21 21:31:39,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-samambaia-norte-samambaia-df-qn-410-conjunto-c-684451,QN 410 Conjunto C,950.0,33.0,28.0,SAMAMBAIA NORTE,SAMAMBAIA,1,0,0.0,0.0,0.0,0.0,0,,0,,
2023-07-21 21:31:39,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-scen-trecho-1-754412,SCEN Trecho 1  - Ilhas do Lago,7000.0,72.0,97.0,ASA NORTE,BRASÍLIA,2,2,1535.0,0.0,72.0,0.0,0,,1,,
2023-07-21 21:31:39,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-jardim-botanico-brasilia-df-condominio-jardim-botanico-vi-60797,Condomínio Jardim Botânico VI,1100.0,16.0,68.0,JARDIM BOTANICO,BRASÍLIA,1,0,100.0,0.0,20.0,0.0,0,,0,,
2023-07-21 21:31:39,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-quadras-economicas-lucio-costa-guara-df-eptg-qe-3-480616,EPTG QE 3,1700.0,43.88,38.0,QUADRAS ECONOMICAS LUCIO COSTA,GUARÁ,1,0,167.0,1123.0,51.03,0.0,0,,1,,
2023-07-21 21:31:39,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-norte-aguas-claras-df-rua-das-paineiras-711559,Rua DAS PAINEIRAS,3400.0,100.0,34.0,NORTE,ÁGUAS CLARAS,3,1,999.0,0.0,100.0,0.0,0,,1,,
